analysis,model_or_variant,analysis_tier,metric,cost_scenario,slice_type,slice_value,portfolio_count,unique_dates,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,period,early,10,27,1.466124938678641e-05,-2.3571963160625371e-05,5.2225724393090585e-05,0.50274862568715639,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.78394700954607444
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,period,early,10,27,0.010472367493980062,-0.026684897655327708,0.048113614687946137,0.66066966516741632,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.93532338308457708
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,period,late,10,28,2.4283878934746109e-05,-6.1109731336915697e-06,5.5309441849373145e-05,0.32883558220889553,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.7178683385579937
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,period,late,10,28,0.014127550631072072,-0.016150347035638613,0.041680547113240915,0.63718140929535227,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.93532338308457708
allocation,fixed_view_uncertainty,parent_primary,net_mean_log_return,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_view_uncertainty,parent_primary,net_information_ratio,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
