variant_id,analysis_tier,cost_scenario,slice_type,slice_value,portfolio_count,row_count,net_mean_log_return,net_information_ratio,gross_mean_log_return,gross_information_ratio
without_model_view,parent_primary,low,overall,overall,10,530,0.0011228792342287469,0.92174799348133141,0.0011238523681673146,0.92269116764520764
without_model_view,parent_primary,low,market,us,2,104,0.00060799512887575605,0.55141539738360101,0.00060889728719738182,0.55281550930221446
without_model_view,parent_primary,low,market,hk,2,104,-0.00040772307781999131,-0.76422384949220534,-0.00040659966252588274,-0.76182179304274478
without_model_view,parent_primary,low,market,cn,2,108,0.00078193880401647496,1.4407015558186871,0.0007826385986949429,1.4412499568024222
without_model_view,parent_primary,low,market,jp,2,108,0.0010086080229905531,0.096811117479699865,0.0010097719864528621,0.097621182717536711
without_model_view,parent_primary,low,market,tw,2,106,0.0035935721086290313,2.8073210528309818,0.0035945514996875275,2.8083216480504496
without_model_view,parent_primary,low,period,early,10,258,0.00082634796538556246,-0.46474307730050823,0.00082810759131527107,-0.46286864956710649
without_model_view,parent_primary,low,period,late,10,272,0.0014041478642344151,2.0510792970706242,0.0014043749873872682,2.0512779671388488
without_model_view,parent_primary,low,regime,calm,2,14,-0.00035262521333212081,6.750744763429477,-0.00035262521333212081,6.750744763429477
without_model_view,parent_primary,low,regime,normal,6,184,0.00014109923259380752,-2.2191710968961571,0.00014205478403531358,-2.2179163852794295
without_model_view,parent_primary,low,regime,stress,8,332,0.0017292183383452564,1.9776335584367108,0.0017302422525687614,1.9785231301958863
without_model_view,parent_primary,base,overall,overall,10,530,0.0011215167917966089,0.92042730878366741,0.0011238523681673146,0.92269116764520764
without_model_view,parent_primary,base,market,us,2,104,0.00060673204815002066,0.54945483549100749,0.00060889728719738182,0.55281550930221446
without_model_view,parent_primary,base,market,hk,2,104,-0.00040929592427874008,-0.76758538262582077,-0.00040659966252588274,-0.76182179304274478
without_model_view,parent_primary,base,market,cn,2,108,0.0007809590621870125,1.4399336744496216,0.0007826385986949429,1.4412499568024222
without_model_view,parent_primary,base,market,jp,2,108,0.0010069784014947022,0.095676934082953552,0.0010097719864528621,0.097621182717536711
without_model_view,parent_primary,base,market,tw,2,106,0.0035922009121883429,2.8059195894769653,0.0035945514996875275,2.8083216480504496
without_model_view,parent_primary,base,period,early,10,258,0.00082388437895203641,-0.46736722087269611,0.00082810759131527107,-0.46286864956710649
without_model_view,parent_primary,base,period,late,10,272,0.0014038298892741822,2.0508011380392883,0.0014043749873872682,2.0512779671388488
without_model_view,parent_primary,base,regime,calm,2,14,-0.00035262521333212081,6.750744763429477,-0.00035262521333212081,6.750744763429477
without_model_view,parent_primary,base,regime,normal,6,184,0.00013976140935666078,-2.2209270535749424,0.00014205478403531358,-2.2179163852794295
without_model_view,parent_primary,base,regime,stress,8,332,0.001727784799148274,1.9763877656061661,0.0017302422525687614,1.9785231301958863
without_model_view,parent_primary,high,overall,overall,10,530,0.0011189863715549266,0.91797386583853813,0.0011238523681673146,0.92269116764520764
without_model_view,parent_primary,high,market,us,2,104,0.00060438614391707156,0.54581254955349567,0.00060889728719738182,0.55281550930221446
without_model_view,parent_primary,high,market,hk,2,104,-0.0004122171262088976,-0.77382402136343098,-0.00040659966252588274,-0.76182179304274478
without_model_view,parent_primary,high,market,cn,2,108,0.00077913945100908076,1.4385072381819359,0.0007826385986949429,1.4412499568024222
without_model_view,parent_primary,high,market,jp,2,108,0.001003951736670576,0.093570310175153465,0.0010097719864528621,0.097621182717536711
without_model_view,parent_primary,high,market,tw,2,106,0.0035896542529533781,2.8033149243747841,0.0035945514996875275,2.8083216480504496
without_model_view,parent_primary,high,period,early,10,258,0.00081930880606660803,-0.47224044551583666,0.00082810759131527107,-0.46286864956710649
without_model_view,parent_primary,high,period,late,10,272,0.0014032393564666406,2.0502844922003827,0.0014043749873872682,2.0512779671388488
without_model_view,parent_primary,high,regime,calm,2,14,-0.00035262521333212081,6.750744763429477,-0.00035262521333212081,6.750744763429477
without_model_view,parent_primary,high,regime,normal,6,184,0.00013727672192814574,-2.2241861292054801,0.00014205478403531358,-2.2179163852794295
without_model_view,parent_primary,high,regime,stress,8,332,0.0017251223285421145,1.9740729379961537,0.0017302422525687614,1.9785231301958863
fixed_view_uncertainty,parent_primary,low,overall,overall,10,530,0.0010567301770647061,0.85906298423370353,0.0010599267623462901,0.86215906457670921
fixed_view_uncertainty,parent_primary,low,market,us,2,104,0.00052782362051806495,0.4166733464854192,0.00053106924201173141,0.42159696814639658
fixed_view_uncertainty,parent_primary,low,market,hk,2,104,-0.00069698642674435396,-1.3582742828803818,-0.00069432872022789417,-1.3528817285519439
fixed_view_uncertainty,parent_primary,low,market,cn,2,108,0.00079562120122342642,1.455210971887241,0.00079938938252581296,1.458145449221546
fixed_view_uncertainty,parent_primary,low,market,jp,2,108,0.00098039621751779514,0.078294747860499017,0.00098326584857683064,0.080323619402732999
fixed_view_uncertainty,parent_primary,low,market,tw,2,106,0.0036400947591299659,2.8337497819741233,0.0036435226869710301,2.8370166338314862
fixed_view_uncertainty,parent_primary,low,period,early,10,258,0.00063073804928532565,-0.64721740157213214,0.00063536625361229745,-0.64248414494218919
fixed_view_uncertainty,parent_primary,low,period,late,10,272,0.0014607962394436772,2.1724400905980525,0.0014626348919542687,2.1740758842329346
fixed_view_uncertainty,parent_primary,low,regime,calm,2,14,-0.0013171565157386342,5.9886713870471482,-0.0013171565157386342,5.9886713870471482
fixed_view_uncertainty,parent_primary,low,regime,normal,6,184,0.00024352750738206253,-1.986231462047686,0.00024713312832792578,-1.9818276853302903
fixed_view_uncertainty,parent_primary,low,regime,stress,8,332,0.0016075244689949869,1.8955758860947238,0.0016106291555769165,1.8982563359731988
fixed_view_uncertainty,parent_primary,base,overall,overall,10,530,0.0010522546206499712,0.85472698269389935,0.0010599267623462901,0.86215906457670921
fixed_view_uncertainty,parent_primary,base,market,us,2,104,0.00052327938487950574,0.40977859475875961,0.00053106924201173141,0.42159696814639658
fixed_view_uncertainty,parent_primary,base,market,hk,2,104,-0.00070070743211886007,-1.3658158773116944,-0.00069432872022789417,-1.3528817285519439
fixed_view_uncertainty,parent_primary,base,market,cn,2,108,0.00079034530591631747,1.4511007791537962,0.00079938938252581296,1.458145449221546
fixed_view_uncertainty,parent_primary,base,market,jp,2,108,0.00097637847309140814,0.075454072812812911,0.00098326584857683064,0.080323619402732999
fixed_view_uncertainty,parent_primary,base,market,tw,2,106,0.0036352952615522939,2.8291703918801998,0.0036435226869710301,2.8370166338314862
fixed_view_uncertainty,parent_primary,base,period,early,10,258,0.00062425806309178791,-0.6538431815232304,0.00063536625361229745,-0.64248414494218919
