analysis_type,analysis_id,cost_scenario,portfolio_count,row_count,gross_mean_log_return,net_mean_log_return,gross_information_ratio,net_information_ratio,gross_cumulative_return,net_cumulative_return,benchmark_cumulative_return,gross_benchmark_excess_return,net_benchmark_excess_return,gross_annualized_return,net_annualized_return,annualized_volatility,max_drawdown,expected_shortfall,gross_sharpe,net_sharpe,mean_l1_turnover,mean_one_way_turnover,realized_cost
component,anomaly_input_neutralized,base,10,530,0.0010412603894980228,0.0010330836385579335,0.84348731116921494,0.83556689973254217,0.73649377158846918,0.7289846495471819,0.096014479123883278,0.6404792924645859,0.63297017042329862,0.30004336051492642,0.29736732554785705,0.21740641090458673,-0.19760807871801278,-0.026886878906414297,1.2071904896245436,1.1974673416178769,0.24074025852207234,0.12037012926103617,0.0043333246533973019
component,anomaly_input_neutralized,high,10,530,0.0010412603894980228,0.0010242239866618467,0.84348731116921494,0.82698006748145336,0.73649377158846918,0.720885033642235,0.096014479123883278,0.6404792924645859,0.62487055451835172,0.30004336051492642,0.29447401243462634,0.21745592999487171,-0.19853589751169842,-0.026898673890026453,1.2071904896245436,1.1869275979039631,0.24074025852207234,0.12037012926103617,0.0090277596945777128
component,anomaly_input_neutralized,low,10,530,0.0010412603894980228,0.0010378535719898444,0.84348731116921494,0.84018783492005666,0.73649377158846918,0.73336116436469601,0.096014479123883278,0.6404792924645859,0.63734668524081273,0.30004336051492642,0.29892772883693253,0.21738046081545703,-0.19710809136262031,-0.026883263609719026,1.2071904896245436,1.20313987356698,0.24074025852207234,0.12037012926103617,0.0018055519389155426
component,fixed_concentration_penalty,base,10,530,0.0010258623731361162,0.0010172809225910667,0.82874688830256549,0.82043131582754836,0.72238000424763005,0.7145641167307355,0.096014479123883278,0.62636552512374677,0.61854963760685222,0.2950085766564472,0.29221111342137851,0.21759857955992665,-0.19910637650478014,-0.026985673052632945,1.1883024928507406,1.1781087588503707,0.25265458554008308,0.12632729277004154,0.0045477825397214969
component,fixed_concentration_penalty,high,10,530,0.0010258623731361162,0.0010079827059532316,0.82874688830256549,0.81141589518624568,0.72238000424763005,0.70613543633198872,0.096014479123883278,0.62636552512374677,0.61012095720810544,0.2950085766564472,0.2891868127646724,0.21765109263318919,-0.20008555252070348,-0.026999146478586408,1.1883024928507406,1.1670588868961216,0.25265458554008308,0.12632729277004154,0.0094745469577531185
component,fixed_concentration_penalty,low,10,530,0.0010258623731361162,0.0010222869458833873,0.82874688830256549,0.82528281627426103,0.72238000424763005,0.7191192252375338,0.096014479123883278,0.62636552512374677,0.62310474611365052,0.2950085766564472,0.29384228949489688,0.21757108274555317,-0.19857868986553906,-0.026978418846522124,1.1883024928507406,1.1840558364269982,0.25265458554008308,0.12632729277004154,0.0018949093915506235
component,fixed_smart_policy,base,10,530,0.0010311904267072158,0.0010227307071578146,0.82938781073577739,0.82125079885130059,0.72725065249999998,0.71952359841392677,0.096014479123883278,0.6312361733761167,0.62350911929004349,0.29674851299278937,0.29398698517527899,0.21797205013243887,-0.20072178254855055,-0.026901096886301743,1.1924590049845862,1.1823907608667021,0.24907108027526265,0.12453554013763132,0.0044832794449547264
component,fixed_smart_policy,high,10,530,0.0010311904267072158,0.0010135644268240648,0.82938781073577739,0.81242877894619658,0.72725065249999998,0.71119019045552334,0.096014479123883278,0.6312361733761167,0.61517571133164006,0.29674851299278937,0.29100145069126526,0.21803079144184703,-0.20173376374915242,-0.026917749765611215,1.1924590049845862,1.1714778168284055,0.24907108027526265,0.12453554013763132,0.0093401655103223478
component,fixed_smart_policy,low,10,530,0.0010311904267072158,0.0010276657141291498,0.82938781073577739,0.82599814261546367,0.72725065249999998,0.72402699158103134,0.096014479123883278,0.6312361733761167,0.62801251245714806,0.29674851299278937,0.29559721659491078,0.21794116840231897,-0.20017640226868827,-0.026892131028341874,1.1924590049845862,1.1882645296389547,0.24907108027526265,0.12453554013763132,0.00186803310206447
component,fixed_turnover_penalty,base,10,530,0.0010278726796186879,0.0010193865796537982,0.83052292247227621,0.82230600697344347,0.72421611342124392,0.7164786353739605,0.096014479123883278,0.62820163429736064,0.62046415625007723,0.29566479062293594,0.29289697564459982,0.21832428043680699,-0.19914139661879748,-0.027043607882609837,1.1866806365840501,1.1766232210123397,0.24984737450552824,0.12492368725276412,0.0044972527410995083
