analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,xgboost_retrained_comparator,average_precision,regime,stress,5,5,54,27,8,-0.010648944785145636,-0.017002065748223875,-0.0016028832795875151,0.014492753623188406,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.15942028985507248
warning,xgboost_retrained_comparator,brier_score,regime,stress,5,5,54,27,8,0.00014950773121774619,-1.8809841189310403e-05,0.00031682036020324044,0.042978510744627683,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.28365817091454271
warning,xgboost_retrained_comparator,recall_at_frozen_threshold,regime,stress,5,5,54,27,8,-0.044444444444444439,-0.11594526397515525,0.037608333811628224,0.25787106446776614,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.7476261869065467
warning,logistic_regression,average_precision,overall,overall,1,1,54,50,10,-0.032496086400877991,-0.056652623344872879,-0.0040788172157004629,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,logistic_regression,brier_score,overall,overall,1,1,54,50,10,0.0020281295140590627,0.00026392191766745236,0.0039023270415354076,0.27186406796601698,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,logistic_regression,recall_at_frozen_threshold,overall,overall,1,1,54,50,10,-0.080000000000000002,-0.14999999999999999,0,0.52023988005997002,0.94999999999999996,2000,2000,20,3,1,estimable,,1,
warning,logistic_regression,average_precision,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,brier_score,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,recall_at_frozen_threshold,market,us,1,1,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
warning,logistic_regression,average_precision,market,hk,1,1,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,1,not_estimable,fewer than 20 positive events,,
