row_count,positive_event_count,positive_rate,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error,precision_at_cost_threshold,recall_at_cost_threshold,flag_rate_at_cost_threshold,precision_at_legacy_0_60,recall_at_legacy_0_60,flag_rate_at_legacy_0_60,top_decile_lift,model,repeat_id,seed,slice_type,slice_value
522,50,0.095785440613026823,0.56635593220338987,0.12409287883665523,0.087590230223032986,0.32695359849264954,0.038880431027235755,0.11428571428571428,0.080000000000000002,0.067049808429118771,0,0,0,1.3788679245283018,xgboost_retrained_comparator,1,20260803,overall,overall
522,50,0.095785440613026823,0.56663135593220337,0.1231546603674252,0.087692931538552288,0.32784890761808977,0.039955318113967443,0.0625,0.02,0.030651340996168581,0,0,0,1.3788679245283018,xgboost_retrained_comparator,2,20260804,overall,overall
522,50,0.095785440613026823,0.56974576271186428,0.11538732308544103,0.087597184681705992,0.32652509919919398,0.038573053308487835,0.083333333333333329,0.02,0.022988505747126436,0,0,0,1.5758490566037735,xgboost_retrained_comparator,3,20260805,overall,overall
522,50,0.095785440613026823,0.56355932203389825,0.11501457096987726,0.087696678100533762,0.32677198342482161,0.038305497508251282,0.11764705882352941,0.040000000000000001,0.032567049808429116,0,0,0,1.5758490566037735,xgboost_retrained_comparator,4,20260806,overall,overall
522,50,0.095785440613026823,0.58315677966101687,0.12212369113571167,0.087417568013339164,0.32562284235458766,0.038017073578586483,0.14634146341463414,0.12,0.078544061302681989,0,0,0,1.3788679245283018,xgboost_retrained_comparator,5,20260807,overall,overall
102,11,0.10784313725490197,0.31768231768231769,0.083897368110580531,0.10171710732071937,0.39398376051215861,0.058923412679634378,0,0,0,0,0,0,0,xgboost_retrained_comparator,1,20260803,market,us
102,11,0.10784313725490197,0.3191808191808192,0.096556668653878366,0.10204033215089804,0.3963005363044802,0.058098501265763693,0,0,0,0,0,0,0,xgboost_retrained_comparator,2,20260804,market,us
102,11,0.10784313725490197,0.36163836163836161,0.09402457273591136,0.10164089248749002,0.39020710365407285,0.057961953407503958,0,0,0,0,0,0,0,xgboost_retrained_comparator,3,20260805,market,us
102,11,0.10784313725490197,0.3236763236763236,0.084579137290801729,0.10193555201627214,0.3950723747191236,0.058032762083764573,0,0,0,0,0,0,0,xgboost_retrained_comparator,4,20260806,market,us
102,11,0.10784313725490197,0.37062937062937062,0.091652866274715014,0.10175833449087092,0.39533392543097784,0.06069816777944699,0,0,0.0098039215686274508,0,0,0,0,xgboost_retrained_comparator,5,20260807,market,us
102,7,0.068627450980392163,0.59473684210526312,0.1040208692369374,0.063657518905107915,0.24811755878570105,0.021124192330656107,0,0,0.039215686274509803,0,0,0,2.6493506493506493,xgboost_retrained_comparator,1,20260803,market,hk
102,7,0.068627450980392163,0.63684210526315788,0.10783880512910857,0.06346337938352993,0.24613687019266967,0.010900703038320955,0,0,0,0,0,0,1.3246753246753247,xgboost_retrained_comparator,2,20260804,market,hk
102,7,0.068627450980392163,0.6060150375939849,0.091230198373055515,0.063808105064206422,0.24917375030916944,0.011528702595312891,0,0,0,0,0,0,1.3246753246753247,xgboost_retrained_comparator,3,20260805,market,hk
102,7,0.068627450980392163,0.59323308270676689,0.088134250115816937,0.063548154876387347,0.24689050606208179,0.01133554037406595,0,0,0,0,0,0,1.3246753246753247,xgboost_retrained_comparator,4,20260806,market,hk
102,7,0.068627450980392163,0.64360902255639096,0.10566790352504637,0.063222723362675592,0.24480478077687118,0.011334105526194897,0.14285714285714285,0.14285714285714285,0.068627450980392163,0,0,0,1.3246753246753247,xgboost_retrained_comparator,5,20260807,market,hk
106,13,0.12264150943396226,0.55045492142266339,0.13422538314794727,0.11170056711649243,0.40909844132682194,0.068822278930229755,0,0,0.028301886792452831,0,0,0,0.74125874125874125,xgboost_retrained_comparator,1,20260803,market,cn
106,13,0.12264150943396226,0.57444168734491319,0.14092449779423644,0.11105086555106844,0.40387929454508531,0.061534837287816467,0,0,0,0,0,0,0.74125874125874125,xgboost_retrained_comparator,2,20260804,market,cn
106,13,0.12264150943396226,0.56782464846980973,0.14460927082655628,0.11103491124990394,0.40281408015505088,0.061791992359867057,0,0,0,0,0,0,0.74125874125874125,xgboost_retrained_comparator,3,20260805,market,cn
106,13,0.12264150943396226,0.5694789081885856,0.14403505419358367,0.11120595905013593,0.40142088362238171,0.062028285957330842,0,0,0,0,0,0,0,xgboost_retrained_comparator,4,20260806,market,cn
106,13,0.12264150943396226,0.5856079404466501,0.15243828514912175,0.1108510010680565,0.39944857954213542,0.069873105776068048,0,0,0.037735849056603772,0,0,0,0.74125874125874125,xgboost_retrained_comparator,5,20260807,market,cn
106,3,0.028301886792452831,0.43203883495145629,0.03047385620915033,0.028457293820456402,0.13752302132385988,0.019027195099963132,0,0,0,0,0,0,0,xgboost_retrained_comparator,1,20260803,market,jp
106,3,0.028301886792452831,0.30744336569579289,0.028185582533408624,0.028900641999397233,0.1424972605071135,0.022420377832718698,0,0,0,0,0,0,0,xgboost_retrained_comparator,2,20260804,market,jp
106,3,0.028301886792452831,0.36569579288025889,0.029975124378109452,0.028893650671369002,0.14214628376259911,0.021710018781904934,0,0,0,0,0,0,0,xgboost_retrained_comparator,3,20260805,market,jp
106,3,0.028301886792452831,0.32038834951456313,0.034090909090909088,0.028784777292713563,0.14111994612227502,0.020977710947957758,0,0,0,0,0,0,0,xgboost_retrained_comparator,4,20260806,market,jp
106,3,0.028301886792452831,0.31067961165048541,0.025220458553791889,0.028652256605910434,0.14024677456885806,0.020029246349812652,0,0,0,0,0,0,0,xgboost_retrained_comparator,5,20260807,market,jp
106,16,0.15094339622641509,0.61458333333333337,0.19300054432504676,0.13204863247237983,0.44559970569631258,0.07795186943729436,0.14285714285714285,0.25,0.26415094339622641,0,0,0,0.60227272727272729,xgboost_retrained_comparator,1,20260803,market,tw
106,16,0.15094339622641509,0.59826388888888893,0.18391965407640351,0.13263652722889888,0.44993018375849531,0.091251174662585019,0.0625,0.0625,0.15094339622641509,0,0,0,0.60227272727272729,xgboost_retrained_comparator,2,20260804,market,tw
106,16,0.15094339622641509,0.60312499999999991,0.18377843025921398,0.1322406140558732,0.44776845379677016,0.083003752032824021,0.083333333333333329,0.0625,0.11320754716981132,0,0,0,0.60227272727272729,xgboost_retrained_comparator,3,20260805,market,tw
106,16,0.15094339622641509,0.60763888888888884,0.180763154527986,0.13263499823665387,0.44891918448245582,0.080835300920895373,0.11764705882352941,0.125,0.16037735849056603,0,0,0,0.60227272727272729,xgboost_retrained_comparator,4,20260806,market,tw
106,16,0.15094339622641509,0.61875000000000002,0.19042137839711851,0.13223167253264909,0.44786102018989482,0.077957132173206933,0.17241379310344829,0.3125,0.27358490566037735,0,0,0,1.2045454545454546,xgboost_retrained_comparator,5,20260807,market,tw
