row_count,positive_event_count,positive_rate,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error,precision_at_cost_threshold,recall_at_cost_threshold,flag_rate_at_cost_threshold,precision_at_legacy_0_60,recall_at_legacy_0_60,flag_rate_at_legacy_0_60,top_decile_lift,model,repeat_id,seed,slice_type,slice_value
522,50,0.095785440613026823,0.56635593220338987,0.12409287883665523,0.087590230223032986,0.32695359849264954,0.038880431027235755,0.11428571428571428,0.080000000000000002,0.067049808429118771,0,0,0,1.3788679245283018,accepted_v2_h1_frozen_artifact,1,20260803,overall,overall
522,50,0.095785440613026823,0.49279661016949156,0.12730618044697273,0.088254170841952015,0.33124911565913662,0.042642601368896443,0.40000000000000002,0.080000000000000002,0.019157088122605363,0,0,0,1.1818867924528302,caviar_sav,1,20260803,overall,overall
522,50,0.095785440613026823,0.43423728813559326,0.099022526771563507,0.088375020122499245,0.33224367891206624,0.034629847878957204,0.22727272727272727,0.10000000000000001,0.042145593869731802,0,0,0,1.1818867924528302,garch_1_1,1,20260803,overall,overall
522,50,0.095785440613026823,0.58815677966101698,0.12949912268744435,0.087389629995048179,0.32752998147519224,0.037922748104542291,0.15277777777777779,0.22,0.13793103448275862,0,0,0,1.772830188679245,gradient_boosting,1,20260803,overall,overall
522,50,0.095785440613026823,0.58612288135593227,0.12886245837312535,0.087391240311720284,0.32754285145424383,0.037933374033745582,0.15277777777777779,0.22,0.13793103448275862,0,0,0,1.772830188679245,gradient_boosting,2,20260804,overall,overall
522,50,0.095785440613026823,0.58815677966101698,0.12949912268744435,0.087390119702002944,0.32752721488980441,0.037936989055742047,0.15277777777777779,0.22,0.13793103448275862,0,0,0,1.772830188679245,gradient_boosting,3,20260805,overall,overall
522,50,0.095785440613026823,0.58612288135593227,0.12886245837312535,0.087407442166495306,0.32765836172488244,0.037932117633840044,0,0,0,0,0,0,1.772830188679245,gradient_boosting,4,20260806,overall,overall
522,50,0.095785440613026823,0.58612288135593227,0.12886245837312535,0.087390705350624806,0.3275344566847721,0.037937664450437884,0.15277777777777779,0.22,0.13793103448275862,0,0,0,1.772830188679245,gradient_boosting,5,20260807,overall,overall
522,50,0.095785440613026823,0.5,0.095785440613026823,0.088278858067616067,0.32901629629953033,0.040844437663174318,0,0,0,0,0,0,1.3788679245283018,historical_es,1,20260803,overall,overall
522,50,0.095785440613026823,0.45809322033898303,0.094269731800766282,0.089014399283612003,0.33481500097759415,0.054239533889053379,0,0,0,0,0,0,0.39396226415094338,historical_tail_threshold,1,20260803,overall,overall
522,50,0.095785440613026823,0.5,0.095785440613026823,0.088314493263283139,0.32936073932486626,0.041278363384320595,0,0,0,0,0,0,1.3788679245283018,historical_var,1,20260803,overall,overall
522,50,0.095785440613026823,0.47182203389830502,0.091596792435777244,0.089618359737092063,0.34471700404653022,0.052772333763794713,0,0,0.024904214559386972,0,0,0,0.78792452830188675,logistic_regression,1,20260803,overall,overall
522,50,0.095785440613026823,0.47817796610169494,0.096073392411930136,0.089006855879719987,0.33864318711405045,0.047269211207377607,0,0,0.01532567049808429,0,0,0,0.98490566037735849,quantile_regression,1,20260803,overall,overall
522,50,0.095785440613026823,0.54044491525423732,0.11031037472510781,0.087953574799458367,0.32885061796220932,0.03858239779302778,0.1111111111111111,0.040000000000000001,0.034482758620689655,0,0,0,1.3788679245283018,random_forest,1,20260803,overall,overall
522,50,0.095785440613026823,0.54430084745762719,0.11871760341171678,0.087851809919485296,0.32897974693869164,0.037838512004145258,0.18181818181818182,0.16,0.084291187739463605,0,0,0,1.772830188679245,random_forest,2,20260804,overall,overall
522,50,0.095785440613026823,0.56296610169491523,0.12398701103984457,0.087597151044826987,0.3281774398048794,0.037832790839881496,0.13636363636363635,0.059999999999999998,0.042145593869731802,0,0,0,2.3637735849056605,random_forest,3,20260805,overall,overall
522,50,0.095785440613026823,0.54466101694915248,0.11167591606319829,0.087876225479918468,0.32886942217772808,0.037042130828538827,0.13793103448275862,0.16,0.1111111111111111,0,0,0,1.5758490566037735,random_forest,4,20260806,overall,overall
522,50,0.095785440613026823,0.5165254237288136,0.10836805879724079,0.08818149146851556,0.33246654038817858,0.037880726953077461,0.13157894736842105,0.10000000000000001,0.072796934865900387,0,0,0,1.3788679245283018,random_forest,5,20260807,overall,overall
522,50,0.095785440613026823,0.55332627118644073,0.1320107386664448,0.087754340694390282,0.32793964707974554,0.041769186210968826,0.375,0.059999999999999998,0.01532567049808429,0,0,0,1.772830188679245,temporal_mlp,1,20260803,overall,overall
