version,horizon,status,role_separation,selected_candidate_id,validation_positive_events,validation_roc_auc,validation_average_precision,average_precision_floor,validation_calibration_error,calibration_error_source,gate_passed,final_test_status,artifact_hash,artifact_directory,result_status
v1_legacy,1,degraded_validation,shared_calibration_validation/no_final_test,legacy_fixed,383,0.6111549573041467,0.0963301945334282,0.06495929443690637,0.39284048133012883,raw_binary_logistic_probability,False,not_defined,b807acefbc0c5774844331b7514791fd892f33a59846250728a64ca55506d6cd,artifacts/crisis_warning/legacy/global_h1,legacy_degraded_evidence
v1_legacy,5,degraded_validation,shared_calibration_validation/no_final_test,legacy_fixed,379,0.5698029278916352,0.07123447324620197,0.06456118833469611,0.38318287721119515,raw_binary_logistic_probability,False,not_defined,625482ed714b903cd94ebdfd47fc8d9b0b0e7e5282ccc6a3b9af290b537053d0,artifacts/crisis_warning/legacy/global_h5,legacy_degraded_evidence
v2,1,ok,train/calibration/validation/final_test,c02_shallow_regularized,505,0.5992831422938504,0.06796872024774969,0.057355079047792114,0.007925741835954271,isotonic_fit_on_independent_calibration_role,True,reported_after_validation_acceptance,cdb25a3a9919c25fec196832275ca84dc110a9a2bd39b008a3884beb858b12d4,artifacts/crisis_warning/accepted/global_h1,non_degraded_frozen
v2,5,degraded_validation,train/calibration/validation/final_test,c03_slow_depth3,549,0.55976762723814,0.06328858464517792,0.063115055642417,0.00842063122566554,isotonic_fit_on_independent_calibration_role,False,not_opened_validation_gate_failed,43991674a604c2eda67c20df57360f5de8ad63753aea8b9399acae5b6643ab2f,artifacts/crisis_warning/failed/global_h5,failed_validation_gate
