portfolio_return_1d,portfolio_return_5d,rolling_volatility_5d,rolling_volatility_20d,rolling_volatility_60d,rolling_mean_return_5d,rolling_mean_return_20d,rolling_max_drawdown_20d,rolling_max_drawdown_60d,downside_volatility_20d,skewness_20d,kurtosis_20d,correlation_mean_20d,correlation_max_20d
-0.00529422174706259,-0.013155700801301334,0.0031368107567423887,0.007799230014620733,0.016325186333983575,-0.0026311401602602666,0.0006923201304226046,-0.019757236158000735,-0.10863293692197906,0.003714098123938095,0.07384142239639982,-0.41719383287641687,0.23866614876277256,0.5827253679072397
0.003158923469059777,0.011377534183458406,0.0037775466863340145,0.006028712772137749,0.008109925963481058,0.0022755068366916813,0.0021290918462482525,-0.01072401573531534,-0.06767666267796013,0.003415835481586205,0.5367186437442482,1.439454858435345,0.4358100179584207,0.654060487521442
-0.003887862481266967,0.02429821701856265,0.015548672838171906,0.018017887580917408,0.02251188687847614,0.00485964340371253,0.0012041780519284444,-0.08393850406528869,-0.09187838419238425,0.010365297604727224,0.5063233921524904,1.06417545826835,0.4201539456200938,0.7312911791742568
-0.011524594698777393,-0.027767989283426685,0.007009059883539937,0.010629287317318844,0.015223278694255344,-0.005553597856685337,-0.00014824454156381453,-0.0861718174481565,-0.18151881415758775,0.003817113981391703,0.3797988762908911,-1.0235054010703777,0.30881943552226176,0.5917686591924528
-0.012641297470816411,-0.012528575448058184,0.006224774448207968,0.00709505486488461,0.009417858121495827,-0.002505715089611637,0.0011935699510280107,-0.0699025563732012,-0.13107375541441968,0.004489882956546286,0.03600077638795963,0.2850015926433294,0.33016939263010264,0.5515079700383663
-0.010759492861578837,0.009400591489399415,0.016069769911746974,0.01529106888011467,0.01637512490629579,0.001880118297879883,-0.0001736750215246682,-0.07254258733256436,-0.07466443704097492,0.013404304767652546,-1.0512310329699313,2.76150731899351,0.92565627855186,0.9624359256790689
-0.01301674958377063,-0.0009158343503161206,0.01796090663880855,0.015436272490491225,0.017683140937611745,-0.00018316687006322412,-0.0012083707429744552,-0.09807462279622525,-0.09807462279622525,0.01273579750920375,-0.9815997628317636,1.582345962619364,0.4873747140731492,0.8687968513539857
-0.002169735997235424,0.01829878714068152,0.007682196813215537,0.010523652284160237,0.011500986903397386,0.0036597574281363038,-0.0010353721205200322,-0.03825528211014295,-0.04077175291641999,0.009110000539879239,-0.9184287693949637,3.0526892830607246,0.36567196687501197,0.5444574200348127
-0.009786427295249464,-0.016069694386955425,0.005219893138142127,0.0119874799756448,0.012462005611672617,-0.003213938877391085,0.0005975883312006032,-0.05329417214630905,-0.07309371399674369,0.007577523969564981,-0.027305682011312532,0.6759371401310686,0.9699942048577744,0.9941618133096122
-0.015885525608567274,-0.031847923830991165,0.005989997160359729,0.012211738705806018,0.013514153806316683,-0.006369584766198233,0.0005697483775098097,-0.03989492633355707,-0.07168519878902269,0.008787952389557221,-0.41777485521730223,0.7480964363264686,0.2380932368725402,0.7492689728453015
-0.014978826106316354,-0.02556359329645172,0.00634481838002211,0.017814231846845333,0.01844385099942325,-0.005112718659290344,-0.001303883921250204,-0.0953064373846344,-0.0953064373846344,0.009486094863035876,0.405317647691656,-0.13660821797535402,0.45289779677623476,0.7049400067163897
-0.0009556988144742405,-0.0024200482395195805,0.004852062916788531,0.013760526892780687,0.01268381944777197,-0.0004840096479039161,0.0012000692889763977,-0.05684057908243789,-0.11823941576827046,0.005598148780498979,1.127151862519737,1.110859458662107,0.3595469161714899,0.6185949570178186
-0.03289126137617436,-0.028818220467439357,0.01660073045068203,0.013176793259783572,0.009753733593522976,-0.005763644093487871,0.0004898807756563081,-0.04247220028102516,-0.04862861891053216,0.008895524994896056,-0.15371959973222982,2.040110242316355,0.7015711689245362,0.9960412528732884
-0.042711335732507155,-0.0650979939871049,0.020967273945657634,0.016591357026523208,0.013181816771340777,-0.01301959879742098,-0.0018780224572315773,-0.077787710749748,-0.077787710749748,0.01189667857136334,-0.28967718104742923,1.2154610700031299,0.3457203606177448,0.6620949842471621
-0.056392354004013594,-0.10450694665866715,0.02948732678955795,0.026494546696953697,0.01871688899435734,-0.020901389331733432,-0.0019960585361585405,-0.15385900949284625,-0.15385900949284625,0.017902766631757445,0.2574444496700192,1.5685783518403036,0.48776653023723116,0.7204183657524065
-0.014338077706988974,-0.022096572648740178,0.006685850379971168,0.006445327786435673,0.006362489770295182,-0.004419314529748036,-0.0016861221474413046,-0.04243867912379318,-0.04992746171265572,0.004469232572663048,-0.36958754346133166,-0.5395689997807794,0.3523567987014715,0.6002351425916906
0.0023600815968880654,0.011237503863562023,0.003932673265408537,0.006904811906768969,0.013030766425762301,0.002247500772712405,0.0034460347630504333,-0.020596097096278188,-0.06838492519511852,0.004618149247264887,-0.332526735454886,-0.030500288989670256,0.4747195520877501,0.8247273187245121
0.016478179435663712,0.0564122568624254,0.010594349623698335,0.014272811763028775,0.0170121147350953,0.01128245137248508,0.007054660359250148,-0.04511290950964841,-0.04790348067716799,0.008658398777884138,-0.60996525030822,-0.25756481621592675,0.3349244710507762,0.5615164526479637
0.0013101526267588082,-0.014541443849362136,0.002555912174752519,0.007537092811271058,0.016281669538903556,-0.0029082887698724273,0.001149213182754176,-0.019757236158000735,-0.10863293692197906,0.003928596676325775,-0.036003013296477315,-0.09712544895304659,0.2176763727271852,0.5827123916735515
0.006629125897163706,0.01846410208843797,0.003824935831891997,0.005957381415477283,0.007993271130083957,0.0036928204176875936,0.0026342346893403834,-0.01072401573531534,-0.06767666267796013,0.0036821754797219876,0.3467263620224219,1.4446691937934837,0.424681836883473,0.6471591045258085
0.02360713181825794,0.03879045781435525,0.01773697472100291,0.016508057295963587,0.022493402648067137,0.00775809156287105,0.004140815216776774,-0.08393850406528869,-0.09187838419238425,0.00677466317506493,0.8282595240115049,0.5541731200585619,0.34998837313527914,0.616700867460273
0.011231689372406168,-0.005639038715551905,0.009377642569456784,0.010266637603751171,0.015266860384600414,-0.001127807743110381,0.0011914460028070756,-0.0861718174481565,-0.18151881415758775,0.003271222104641433,0.26146532572863473,-1.2159926679574324,0.30086414305739795,0.5832062788770338
0.008800388712201533,-0.006983869124171696,0.007801871512004927,0.007090225085293352,0.009196855801700803,-0.001396773824834339,0.0019222820585612327,-0.0699025563732012,-0.13107375541441968,0.004780609695401296,-0.1800761668824777,0.32807486635235267,0.33307738115271607,0.5149359806504487
0.007176661710993574,-0.0002584461394177801,0.014306245020166962,0.011182348780063082,0.0163478721786655,-5.1689227883556026e-05,0.0024220353678807657,-0.06976202801173359,-0.07411819414380127,0.005799023696726362,0.24162396060184022,-0.44211010362899217,0.8659498160857607,0.9328337724596907
0.010378187448448263,-0.009367243433394958,0.016016775884446652,0.011972907050628106,0.017702357151146396,-0.0018734486866789917,0.0014878467777583583,-0.09807462279622525,-0.09807462279622525,0.006707356557107755,-0.22883181363376887,-0.7870770909855122,0.3257779834995352,0.8460754663157035
0.0020957083997063773,0.006853885711693958,0.005354494443124269,0.007688076188874061,0.011482893138072261,0.0013707771423387915,0.0006494220173609612,-0.03825528211014295,-0.04077175291641999,0.004110074682538608,0.5802613116488151,0.5315344920875646,0.1713987568294315,0.3756844751281746
0.003965636963595481,-0.011586768701008296,0.0061082771742765616,0.011951405579023902,0.012136029175335468,-0.002317353740201659,0.000503433693475697,-0.05329417214630905,-0.07309371399674369,0.007577523969564981,-0.004944184236311449,0.7241202846717032,0.9711519807093992,0.9938901041677507
-0.005654015254482544,-0.03377765782969766,0.005837163230696114,0.011968950961350866,0.013216959793023309,-0.006755531565939532,-0.0003211107476012111,-0.03989492633355707,-0.06456306688680369,0.008364031121153352,-0.2565006833140497,0.9083822734882169,0.25676571686317434,0.7611949173340029
-0.0021537590353899777,-0.021128260165042698,0.00639664381583713,0.0178033999155715,0.018028550768935385,-0.004225652033008539,-0.001482524522923807,-0.0953064373846344,-0.0953064373846344,0.009553855249252062,0.4392904125577227,-0.10740805691702515,0.46218274341739296,0.7129531345147568
-0.0023687314830351963,-0.005020660553672289,0.004895331922609034,0.01367379963745657,0.012508227791616765,-0.0010041321107344579,0.001399606788295238,-0.05684057908243789,-0.11823941576827046,0.005754872937916291,1.1089312674089686,1.14183412250388,0.3598270285296717,0.6269408225643374
0.01677361202161403,-0.015954862706884773,0.019258682556402888,0.013567062224972875,0.009918046158520448,-0.003190972541376955,0.0016246100545467064,-0.04247220028102516,-0.04862861891053216,0.009346916335485227,-0.3130279166813106,1.6433057408186202,0.7174433942534262,0.9954312021375578
0.023157000982194493,-0.0413693199707882,0.026456057097290438,0.017286773227785622,0.013422682039166519,-0.008273863994157641,-8.970330593364423e-05,-0.077787710749748,-0.077787710749748,0.012474839577546125,-0.41061767358894097,0.9239481252043802,0.36262784491333555,0.6676248312465064
0.025873398240678035,-0.07162490473915019,0.036251332386843214,0.02719349414928846,0.01891182528532964,-0.014324980947830038,-0.0004166033221993321,-0.15385900949284625,-0.15385900949284625,0.01826153488041373,0.10736251401335199,1.084400894164727,0.49810729752765504,0.7488916841233736
0.008118828111360683,-0.008832256684042115,0.008664462747396254,0.0066441880212584955,0.006444766071706702,-0.001766451336808423,-0.0009026067438800259,-0.04243867912379318,-0.04992746171265572,0.00465636311546108,-0.5042177976168033,-0.4051541317928313,0.3736416860627858,0.5651026311141237
0.008993223662763707,0.014153269069700502,0.004769683955755608,0.006802558602870889,0.013053064101624327,0.0028306538139401005,0.0033452441574917577,-0.020596097096278188,-0.06838492519511852,0.004618149247264887,-0.3470108739472841,0.07962793508945012,0.455031724002756,0.7961249599782395
0.006176811366923434,0.04514350335449855,0.010144550341137601,0.01406149515193174,0.01694549983923104,0.00902870067089971,0.006490736421892832,-0.04511290950964841,-0.04790348067716799,0.008658398777884138,-0.5278027058519539,-0.1952658169712889,0.32317375273257154,0.5570354789440893
